target_index,M0_seed2026,M0_seed7,M0_seed13,M0T_seed2026,M0T_seed7,M0T_seed13,M1D_seed2026,M1D_seed7,M1D_seed13,M1R_seed2026,M1R_seed7,M1R_seed13,M1_seed2026,M1_seed7,M1_seed13,M2_seed2026,M2_seed7,M2_seed13
62,0.18913651674198134,0.16465526303687347,0.16249569504417205,0.2212580111165088,0.2341688034741877,0.2208742969222265,0.15401330226313403,0.1592714760240243,0.11181573574230548,0.22527839092578766,0.14451724745049438,0.20198712698354437,0.1501266208095365,0.15566143458422804,0.2556536495441458,0.3494291576244956,0.2527590661064284,0.2298587216282084
63,0.34474263175017617,0.3631961934070832,0.3649413399342331,0.4458846586752136,0.4583111873108817,0.4307696518208998,0.34090557983129693,0.3617230589884574,0.3926480912408245,0.4067751013131089,0.41634392273434884,0.39572025731949134,0.43925920888060543,0.42082748634235967,0.4503396382177705,0.4194018502257515,0.42375686175179395,0.3836901467690661
64,0.0880784324875671,0.09152164318528146,0.08419647980108123,0.2116310633284803,0.2028174409073204,0.19448966698794587,0.12350611075215953,0.12928531656726686,0.10718728660445134,0.1502009147173225,0.16334742122564092,0.11927757445830513,0.19809262219620383,0.11770059245173706,0.211596882643412,0.2170149682667047,0.19084685735038828,0.13997048412005852
65,0.23864408210962132,0.22621590411833686,0.19285409127043995,0.3091001356335929,0.3006203847410763,0.2768717571146569,0.12726658726339934,0.10297122364218896,0.12043627441862911,0.16059631051554862,0.12378681745399929,0.16278308665318944,0.15775254940369154,0.19515391024070664,0.12779313394052774,0.17787343157848756,0.14564321665090943,0.17832035745244268
66,0.05423456833843362,0.06327996848689088,0.0609223323915287,0.18508670927277934,0.24112655443679848,0.17351212844237734,0.12062981909021683,0.08676359525291852,0.12415027221472277,0.07828018363786692,0.058129841671464476,0.06613818180605752,0.14368469035704756,0.13839050080324483,0.1588499370545848,0.15402130438184328,0.1467900432629226,0.08740531461454143
67,0.32402398118040415,0.3148821393364506,0.3331219795771681,0.3390060803921636,0.3365171431074603,0.3168512117288776,0.28837152437160807,0.28701859691835235,0.27855802142032554,0.2867583156434485,0.2915365134631064,0.2598043854748119,0.3312167004910906,0.37320241868191223,0.3046654748559232,0.3154004228738816,0.3505138771197549,0.3162695227037371
68,0.034055043667185016,0.027108126438276006,0.03042677321993518,0.057301386073010635,0.053322815813794916,0.050439039299447236,0.0396990770154822,0.03432944160032567,0.04455854159381029,0.0332712751468501,0.03227654740376989,0.025615434201763057,0.04592208249272267,0.03190630020211926,0.0339329468969209,0.025216296287992043,0.03142422809050579,0.02786333767748099
69,0.5491749369707968,0.5056645860283099,0.5668287704218895,0.6328984515754942,0.6124488286453807,0.6500333803416656,0.6214246818894061,0.6319537057391401,0.6541144374369379,0.6456271829511826,0.6433579393675033,0.6125310137354335,0.6139658243788466,0.5879241155742884,0.6179890818321222,0.6574401615860896,0.6255106981250378,0.6388531141260343
70,0.11193664934655377,0.09850862395440703,0.12809621462622695,0.14946552989193054,0.16614070143612644,0.154331290038118,0.1001996114518379,0.08987190299655652,0.05718962968463046,0.12622263390851943,0.1262536019139221,0.09385149285681867,0.07048762319099532,0.1241582011015073,0.10063448976479888,0.07535337579059327,0.09349206256778111,0.13612452553443177
71,0.05465296183531059,0.06379346619251026,0.05736134491055794,0.12461429633560868,0.10669476223874498,0.13053440916875172,0.0594074714120548,0.0625187253167972,0.06772364133945635,0.07542560930771748,0.0562539143045585,0.04867133952080774,0.06121208577750323,0.02956401289005158,0.03875199874736951,0.05879349315666583,0.0438488072816419,0.04580731647698704
73,0.11540984358188629,0.09577960006408877,0.0879506969300208,0.1806220248721481,0.15962068351296624,0.16803793900781466,0.05005856631943453,0.055434372072970584,0.07287973428201364,0.07101653646568053,0.045320270650439046,0.02915045235350724,0.06313199108140854,0.049160679477316734,0.03892845408396675,0.058051009498995006,0.07022304295867973,0.06691290856588067
74,0.0708174316648657,0.09571616934827103,0.0877286716942832,0.26654107252144504,0.24632772336663616,0.223707436722491,0.08343989865761577,0.08136776528719133,0.0725552602458698,0.061475547366825666,0.06049344334212344,0.06168414737151284,0.0725105012545016,0.0471432724278447,0.061689476247058554,0.05689096490147352,0.059657777963298,0.06789523499812407
75,0.11888656086683344,0.11239226094793707,0.1114602246269143,0.3563867390983717,0.31187750392552477,0.32111893897477506,0.1474555647843427,0.11468728189439815,0.12172206306080624,0.08138396604643211,0.10050002780664473,0.06820338073817037,0.12064427054988555,0.1428663663828575,0.10692635033349263,0.10370093156288739,0.2114931099325912,0.08698319995105795
76,0.06843845975728262,0.047984281846235696,0.05519271517755914,0.06618548102555069,0.06714948520026423,0.06557374477101585,0.06041402797986142,0.06740124621091152,0.073763361618648,0.08673102990331191,0.08620002280367328,0.08698476489417184,0.12424225871659789,0.10884817507836642,0.08142768748538469,0.13526882386843334,0.13113534705049268,0.13846820984051977
77,0.08601516469091282,0.06252297609009685,0.06100677057751782,0.07975507909781432,0.05212843085532163,0.08109227621152369,0.08514139457068223,0.054827634552893516,0.08237748591776176,0.08229724315051248,0.07915076967713669,0.11886778284364667,0.07419693537594613,0.047221630016581674,0.06232050707451603,0.05946621975346295,0.09302359901996542,0.058937867286329756
